Messages, Size, Comm, Latency, Bandwidth
1024, 4, intra-node, 0.001657, 2414.001207
1, 256, inter-node, 2.284677, 0.109425
1024, 1, intra-node, 0.003495, 286.123033
1, 1, inter-node, 0.009288, 0.105142
1024, 32, inter-node, 0.285947, 111.908850
1024, 8, intra-node, 0.002138, 3741.814780
1, 128, intra-node, 0.039366, 3.175329
1024, 512, inter-node, 4.703751, 108.849299
1, 2, inter-node, 0.019579, 0.099756
1024, 256, inter-node, 2.534910, 100.989779
1, 32, intra-node, 0.010111, 3.090693
1, 64, intra-node, 0.019982, 3.127815
1024, 1, inter-node, 0.009555, 104.657248
1024, 256, intra-node, 0.032885, 7784.704272
1, 128, inter-node, 1.142599, 0.109400
1, 1024, intra-node, 0.312932, 3.195582
1024, 8, inter-node, 0.072026, 111.071002
1024, 16, inter-node, 0.143230, 111.708441
1, 4, inter-node, 0.036718, 0.106385
1024, 32, intra-node, 0.006586, 4858.791376
1, 32, inter-node, 0.285898, 0.109305
1024, 1024, intra-node, 0.129058, 7934.417084
1, 4, inter-node, 0.037690, 0.103642
1, 32, intra-node, 0.010236, 3.052950
1, 2, intra-node, 0.001109, 1.761159
1024, 1024, inter-node, 9.331907, 109.731055
1024, 1, intra-node, 0.003828, 261.233020
1024, 64, intra-node, 0.009735, 6574.216744
1024, 8, inter-node, 0.071840, 111.358575
1, 128, inter-node, 1.142957, 0.109365
1, 4, intra-node, 0.001642, 2.378959
1, 1024, intra-node, 0.312060, 3.204512
1024, 2, intra-node, 0.003660, 546.448087
1, 32, inter-node, 0.285800, 0.109342
1024, 16, inter-node, 0.144563, 110.678389
1, 1024, inter-node, 9.136763, 0.109448
1, 512, inter-node, 4.568137, 0.109454
1, 16, inter-node, 0.144262, 0.108310
1024, 1, inter-node, 0.009591, 104.264415
1, 1, inter-node, 0.009493, 0.102872
1024, 512, intra-node, 0.065673, 7796.202397
1024, 8, intra-node, 0.002150, 3720.930233
1024, 32, inter-node, 0.286017, 111.881462
1, 256, intra-node, 0.078417, 3.188084
1, 64, intra-node, 0.019940, 3.134403
1024, 128, inter-node, 1.365344, 93.749268
1024, 4, intra-node, 0.001610, 2484.472050
1, 8, intra-node, 0.002867, 2.724974
1, 64, inter-node, 0.571499, 0.109362
1024, 32, intra-node, 0.006307, 5073.727604
1024, 64, inter-node, 0.774418, 82.642707
1024, 2, inter-node, 0.018377, 108.831692
1, 8, inter-node, 0.072828, 0.107273
1024, 16, intra-node, 0.003587, 4460.551993
1, 16, intra-node, 0.005255, 2.973359
1024, 4, inter-node, 0.036180, 110.558320
1, 1, intra-node, 0.000512, 1.907349
1, 128, intra-node, 0.042851, 2.917085
1, 512, intra-node, 0.156436, 3.196195
1024, 256, intra-node, 0.033240, 7701.564380
1, 256, inter-node, 2.285505, 0.109385
1, 2, inter-node, 0.018284, 0.106822
1024, 256, inter-node, 2.534132, 101.020783
1024, 128, intra-node, 0.017097, 7486.693572
1024, 512, inter-node, 4.689525, 109.179501
1024, 256, inter-node, 2.530003, 101.185651
1, 64, intra-node, 0.019928, 3.136291
1024, 8, inter-node, 0.071955, 111.180599
1024, 512, inter-node, 4.683362, 109.323174
1024, 64, inter-node, 0.772406, 82.857979
1, 16, intra-node, 0.005243, 2.980164
1024, 1024, intra-node, 0.128540, 7966.391785
1024, 1, intra-node, 0.003480, 287.356322
1, 512, inter-node, 4.569048, 0.109432
1, 32, inter-node, 0.286072, 0.109238
1024, 64, intra-node, 0.009762, 6556.033600
1, 128, inter-node, 1.143643, 0.109300
1, 128, intra-node, 0.039383, 3.173958
1, 256, intra-node, 0.078524, 3.183740
1024, 1024, inter-node, 9.298906, 110.120481
1, 1, intra-node, 0.000489, 1.997060
1024, 32, inter-node, 0.286003, 111.886938
1024, 2, intra-node, 0.003614, 553.403431
1024, 4, inter-node, 0.036044, 110.975474
1024, 128, intra-node, 0.017100, 7485.380117
1024, 32, intra-node, 0.006254, 5116.725296
1, 64, inter-node, 0.571619, 0.109339
1, 1024, intra-node, 0.312311, 3.201937
1024, 2, inter-node, 0.018600, 107.526882
1, 1024, inter-node, 9.135565, 0.109462
1, 4, inter-node, 0.036469, 0.107112
1, 4, intra-node, 0.001654, 2.361699
1, 512, intra-node, 0.156808, 3.188613
1024, 16, intra-node, 0.003609, 4433.361042
1024, 256, intra-node, 0.032740, 7819.181429
1, 256, inter-node, 2.285108, 0.109404
1, 8, inter-node, 0.071980, 0.108537
1, 16, inter-node, 0.143377, 0.108978
1, 8, intra-node, 0.002852, 2.739306
1024, 4, intra-node, 0.001633, 2449.479486
1024, 16, inter-node, 0.143273, 111.674914
1024, 8, intra-node, 0.002571, 3111.629716
1024, 1, inter-node, 0.010123, 98.784945
1, 1, inter-node, 0.009461, 0.103220
1024, 128, inter-node, 1.364807, 93.786154
1, 2, intra-node, 0.001009, 1.935704
1, 2, inter-node, 0.018356, 0.106403
1, 32, intra-node, 0.010050, 3.109453
1024, 512, intra-node, 0.065217, 7850.713771
1024, 256, intra-node, 0.033285, 7691.152171
1, 32, inter-node, 0.286183, 0.109196
1024, 512, intra-node, 0.065359, 7833.657186
1, 32, intra-node, 0.010129, 3.085201
1024, 16, inter-node, 0.143296, 111.656990
1024, 1, inter-node, 0.009563, 104.569696
1024, 2, inter-node, 0.018363, 108.914665
1, 4, intra-node, 0.001617, 2.415739
1, 512, inter-node, 4.568327, 0.109449
1024, 8, intra-node, 0.002126, 3762.935089
1024, 128, intra-node, 0.017169, 7455.297338
1, 128, inter-node, 1.142356, 0.109423
1024, 2, intra-node, 0.003523, 567.697985
1, 2, inter-node, 0.018524, 0.105438
1024, 1024, intra-node, 0.128570, 7964.532939
1, 16, inter-node, 0.144159, 0.108387
1024, 128, inter-node, 1.365380, 93.746796
1, 4, inter-node, 0.036886, 0.105901
1, 8, inter-node, 0.072658, 0.107524
1024, 4, inter-node, 0.036773, 108.775460
1024, 4, intra-node, 0.001618, 2472.187886
1024, 1024, inter-node, 9.300528, 110.101276
1024, 32, inter-node, 0.286171, 111.821254
1, 8, intra-node, 0.002882, 2.710791
1, 128, intra-node, 0.039546, 3.160876
1, 1024, intra-node, 0.312543, 3.199560
1024, 8, inter-node, 0.072163, 110.860136
1, 1024, inter-node, 9.136403, 0.109452
1024, 256, inter-node, 2.533125, 101.060943
1024, 64, intra-node, 0.009726, 6580.300226
1, 256, inter-node, 2.288010, 0.109265
1, 64, intra-node, 0.019826, 3.152426
1, 512, intra-node, 0.156438, 3.196154
1, 256, intra-node, 0.078299, 3.192889
1024, 512, inter-node, 4.788984, 106.912030
1024, 16, intra-node, 0.003561, 4493.119910
1024, 32, intra-node, 0.006366, 5026.704367
1, 2, intra-node, 0.000968, 2.017691
1024, 1, intra-node, 0.003463, 288.766965
1024, 64, inter-node, 0.882587, 72.514098
1, 1, inter-node, 0.009530, 0.102472
1, 16, intra-node, 0.005240, 2.981870
1, 64, inter-node, 0.571416, 0.109377
1, 1, intra-node, 0.000507, 1.926159
1, 1024, inter-node, 9.136732, 0.109448
1024, 512, intra-node, 0.066604, 7687.225992
1, 1024, intra-node, 0.312291, 3.202142
1024, 16, inter-node, 0.144753, 110.533115
1, 32, intra-node, 0.010107, 3.091916
1, 16, inter-node, 0.143628, 0.108788
1024, 16, intra-node, 0.003607, 4435.819240
1, 2, inter-node, 0.020044, 0.097442
1, 8, inter-node, 0.072057, 0.108421
1024, 2, intra-node, 0.003605, 554.785021
1024, 4, inter-node, 0.036272, 110.277900
1, 512, inter-node, 4.568532, 0.109444
1024, 1, intra-node, 0.003475, 287.769784
1, 256, intra-node, 0.078465, 3.186134
1024, 128, inter-node, 1.365394, 93.745835
1024, 8, intra-node, 0.002193, 3647.970816
1, 4, intra-node, 0.001673, 2.334877
1024, 4, intra-node, 0.001647, 2428.658166
1024, 128, intra-node, 0.016855, 7594.185702
1, 64, inter-node, 0.571551, 0.109352
1, 128, inter-node, 1.143343, 0.109329
1, 16, intra-node, 0.005286, 2.955921
1, 512, intra-node, 0.156457, 3.195766
1024, 2, inter-node, 0.018703, 106.934716
1, 1, intra-node, 0.000508, 1.922367
1024, 8, inter-node, 0.072021, 111.078713
1024, 1024, intra-node, 0.132159, 7748.242647
1, 4, inter-node, 0.036268, 0.107705
1, 8, intra-node, 0.002830, 2.760601
1024, 32, intra-node, 0.006374, 5020.395356
1024, 64, inter-node, 0.772363, 82.862592
1024, 1, inter-node, 0.009491, 105.362975
1024, 256, inter-node, 2.524410, 101.409834
1, 2, intra-node, 0.000965, 2.023964
1, 32, inter-node, 0.285840, 0.109327
1024, 32, inter-node, 0.286168, 111.822426
1024, 1024, inter-node, 9.312996, 109.953875
1, 64, intra-node, 0.019854, 3.147980
