"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"340","75",340,"75.3","lu.B","32","50","sem",""
"341","101",341,"101.3","cg.B","24","150","sem",""
"342","79",342,"79.3","ft.B","8","100","sem",""
"343","47",343,"47.3","cg.B","1","200","com",""
"344","19",344,"19.3","ft.B","8","100","com",""
"345","22",345,"22.3","ft.B","16","100","com",""
"346","13",346,"13.3","ft.B","32","50","com",""
"347","26",347,"26.3","cg.B","24","100","com",""
"348","96",348,"96.3","lu.B","8","150","sem",""
"349","21",349,"21.3","lu.B","8","100","com",""
"350","50",350,"50.3","cg.B","8","200","com",""
"351","90",351,"90.3","lu.B","32","100","sem",""
"352","78",352,"78.3","lu.B","1","100","sem",""
"353","83",353,"83.3","cg.B","16","100","sem",""
"354","77",354,"77.3","cg.B","1","100","sem",""
"355","53",355,"53.3","cg.B","16","200","com",""
"356","60",356,"60.3","lu.B","32","200","com",""
"357","59",357,"59.3","cg.B","32","200","com",""
"358","70",358,"70.3","ft.B","24","50","sem",""
"359","109",359,"109.3","ft.B","8","200","sem",""
"360","7",360,"7.3","ft.B","16","50","com",""
"361","78",361,"78.4","lu.B","1","100","sem",""
"362","71",362,"71.4","cg.B","24","50","sem",""
"363","81",363,"81.4","lu.B","8","100","sem",""
"364","79",364,"79.4","ft.B","8","100","sem",""
"365","74",365,"74.4","cg.B","32","50","sem",""
"366","35",366,"35.4","cg.B","8","150","com",""
"367","59",367,"59.4","cg.B","32","200","com",""
"368","108",368,"108.4","lu.B","1","200","sem",""
"369","13",369,"13.4","ft.B","32","50","com",""
"370","26",370,"26.4","cg.B","24","100","com",""
"371","104",371,"104.4","cg.B","32","150","sem",""
"372","25",372,"25.4","ft.B","24","100","com",""
"373","90",373,"90.4","lu.B","32","100","sem",""
"374","32",374,"32.4","cg.B","1","150","com",""
"375","88",375,"88.4","ft.B","32","100","sem",""
"376","77",376,"77.4","cg.B","1","100","sem",""
"377","120",377,"120.4","lu.B","32","200","sem",""
"378","1",378,"1.4","ft.B","1","50","com",""
"379","27",379,"27.4","lu.B","24","100","com",""
"380","24",380,"24.4","lu.B","16","100","com",""
"381","31",381,"31.4","ft.B","1","150","com",""
"382","12",382,"12.4","lu.B","24","50","com",""
"383","83",383,"83.4","cg.B","16","100","sem",""
"384","63",384,"63.4","lu.B","1","50","sem",""
"385","53",385,"53.4","cg.B","16","200","com",""
"386","39",386,"39.4","lu.B","16","150","com",""
"387","62",387,"62.4","cg.B","1","50","sem",""
"388","40",388,"40.4","ft.B","24","150","com",""
"389","21",389,"21.4","lu.B","8","100","com",""
"390","87",390,"87.4","lu.B","24","100","sem",""
"391","110",391,"110.4","cg.B","8","200","sem",""
"392","43",392,"43.4","ft.B","32","150","com",""
"393","28",393,"28.4","ft.B","32","100","com",""
"394","20",394,"20.4","cg.B","8","100","com",""
"395","7",395,"7.4","ft.B","16","50","com",""
"396","57",396,"57.4","lu.B","24","200","com",""
"397","66",397,"66.4","lu.B","8","50","sem",""
"398","112",398,"112.4","ft.B","16","200","sem",""
"399","41",399,"41.4","cg.B","24","150","com",""
"400","3",400,"3.4","lu.B","1","50","com",""
"401","92",401,"92.4","cg.B","1","150","sem",""
"402","72",402,"72.4","lu.B","24","50","sem",""
"403","51",403,"51.4","lu.B","8","200","com",""
"404","46",404,"46.4","ft.B","1","200","com",""
"405","45",405,"45.4","lu.B","32","150","com",""
"406","75",406,"75.4","lu.B","32","50","sem",""
"407","30",407,"30.4","lu.B","32","100","com",""
"408","76",408,"76.4","ft.B","1","100","sem",""
"409","11",409,"11.4","cg.B","24","50","com",""
"410","102",410,"102.4","lu.B","24","150","sem",""
"411","114",411,"114.4","lu.B","16","200","sem",""
"412","56",412,"56.4","cg.B","24","200","com",""
"413","89",413,"89.4","cg.B","32","100","sem",""
"414","2",414,"2.4","cg.B","1","50","com",""
"415","117",415,"117.4","lu.B","24","200","sem",""
"416","113",416,"113.4","cg.B","16","200","sem",""
"417","94",417,"94.4","ft.B","8","150","sem",""
"418","58",418,"58.4","ft.B","32","200","com",""
"419","115",419,"115.4","ft.B","24","200","sem",""
"420","14",420,"14.4","cg.B","32","50","com",""
"421","101",421,"101.4","cg.B","24","150","sem",""
"422","106",422,"106.4","ft.B","1","200","sem",""
"423","50",423,"50.4","cg.B","8","200","com",""
"424","84",424,"84.4","lu.B","16","100","sem",""
"425","119",425,"119.4","cg.B","32","200","sem",""
"426","109",426,"109.4","ft.B","8","200","sem",""
"427","5",427,"5.4","cg.B","8","50","com",""
"428","42",428,"42.4","lu.B","24","150","com",""
"429","37",429,"37.4","ft.B","16","150","com",""
"430","93",430,"93.4","lu.B","1","150","sem",""
"431","107",431,"107.4","cg.B","1","200","sem",""
"432","99",432,"99.4","lu.B","16","150","sem",""
"433","34",433,"34.4","ft.B","8","150","com",""
"434","10",434,"10.4","ft.B","24","50","com",""
"435","86",435,"86.4","cg.B","24","100","sem",""
"436","111",436,"111.4","lu.B","8","200","sem",""
"437","64",437,"64.4","ft.B","8","50","sem",""
"438","55",438,"55.4","ft.B","24","200","com",""
"439","68",439,"68.4","cg.B","16","50","sem",""
"440","118",440,"118.4","ft.B","32","200","sem",""
"441","82",441,"82.4","ft.B","16","100","sem",""
"442","44",442,"44.4","cg.B","32","150","com",""
"443","61",443,"61.4","ft.B","1","50","sem",""
"444","91",444,"91.4","ft.B","1","150","sem",""
"445","36",445,"36.4","lu.B","8","150","com",""
"446","65",446,"65.4","cg.B","8","50","sem",""
"447","23",447,"23.4","cg.B","16","100","com",""
"448","96",448,"96.4","lu.B","8","150","sem",""
"449","54",449,"54.4","lu.B","16","200","com",""
"450","19",450,"19.4","ft.B","8","100","com",""
"451","49",451,"49.4","ft.B","8","200","com",""
"452","18",452,"18.4","lu.B","1","100","com",""
"453","47",453,"47.4","cg.B","1","200","com",""
"454","69",454,"69.4","lu.B","16","50","sem",""
"455","38",455,"38.4","cg.B","16","150","com",""
"456","105",456,"105.4","lu.B","32","150","sem",""
"457","16",457,"16.4","ft.B","1","100","com",""
"458","98",458,"98.4","cg.B","16","150","sem",""
"459","67",459,"67.4","ft.B","16","50","sem",""
"460","95",460,"95.4","cg.B","8","150","sem",""
"461","29",461,"29.4","cg.B","32","100","com",""
"462","48",462,"48.4","lu.B","1","200","com",""
"463","6",463,"6.4","lu.B","8","50","com",""
"464","17",464,"17.4","cg.B","1","100","com",""
