"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"1789","94",1789,"94.15",ft.B,8,150,sem,7.81
"1790","3",1790,"3.15",lu.B,1,50,com,36.44
"1791","76",1791,"76.15",ft.B,1,100,sem,7.68
"1792","70",1792,"70.15",ft.B,24,50,sem,7.69
"1793","54",1793,"54.15",lu.B,16,200,com,39.35
"1794","73",1794,"73.15",ft.B,32,50,sem,7.98
"1795","46",1795,"46.15",ft.B,1,200,com,7.79
"1796","30",1796,"30.15",lu.B,32,100,com,38.58
"1797","62",1797,"62.15",cg.B,1,50,sem,33.54
"1798","88",1798,"88.15",ft.B,32,100,sem,8.21
"1799","40",1799,"40.15",ft.B,24,150,com,7.66
"1800","47",1800,"47.15",cg.B,1,200,com,23.73
"1801","102",1801,"102.16",lu.B,24,150,sem,34.61
"1802","48",1802,"48.16",lu.B,1,200,com,36.58
"1803","19",1803,"19.16",ft.B,8,100,com,7.74
"1804","120",1804,"120.16",lu.B,32,200,sem,35.80
"1805","98",1805,"98.16",cg.B,16,150,sem,24.35
"1806","74",1806,"74.16",cg.B,32,50,sem,26.56
"1807","55",1807,"55.16",ft.B,24,200,com,7.58
"1808","78",1808,"78.16",lu.B,1,100,sem,38.45
"1809","79",1809,"79.16",ft.B,8,100,sem,7.77
"1810","61",1810,"61.16",ft.B,1,50,sem,8.09
"1811","44",1811,"44.16",cg.B,32,150,com,27.80
"1812","22",1812,"22.16",ft.B,16,100,com,8.34
"1813","13",1813,"13.16",ft.B,32,50,com,7.58
"1814","27",1814,"27.16",lu.B,24,100,com,34.66
"1815","91",1815,"91.16",ft.B,1,150,sem,7.73
"1816","6",1816,"6.16",lu.B,8,50,com,40.99
"1817","101",1817,"101.16",cg.B,24,150,sem,23.93
"1818","110",1818,"110.16",cg.B,8,200,sem,25.25
"1819","38",1819,"38.16",cg.B,16,150,com,25.04
"1820","17",1820,"17.16",cg.B,1,100,com,26.70
"1821","70",1821,"70.16",ft.B,24,50,sem,7.80
"1822","80",1822,"80.16",cg.B,8,100,sem,28.66
"1823","33",1823,"33.16",lu.B,1,150,com,37.67
"1824","7",1824,"7.16",ft.B,16,50,com,7.71
"1825","26",1825,"26.16",cg.B,24,100,com,22.88
"1826","43",1826,"43.16",ft.B,32,150,com,8.01
"1827","39",1827,"39.16",lu.B,16,150,com,39.44
"1828","24",1828,"24.16",lu.B,16,100,com,33.50
"1829","56",1829,"56.16",cg.B,24,200,com,21.09
"1830","2",1830,"2.16",cg.B,1,50,com,22.38
"1831","8",1831,"8.16",cg.B,16,50,com,31.22
"1832","29",1832,"29.16",cg.B,32,100,com,26.15
"1833","107",1833,"107.16",cg.B,1,200,sem,29.51
"1834","68",1834,"68.16",cg.B,16,50,sem,23.20
"1835","119",1835,"119.16",cg.B,32,200,sem,22.86
"1836","45",1836,"45.16",lu.B,32,150,com,42.90
"1837","18",1837,"18.16",lu.B,1,100,com,42.92
"1838","50",1838,"50.16",cg.B,8,200,com,23.83
"1839","83",1839,"83.16",cg.B,16,100,sem,26.30
"1840","65",1840,"65.16",cg.B,8,50,sem,26.57
"1841","47",1841,"47.16",cg.B,1,200,com,26.98
"1842","108",1842,"108.16",lu.B,1,200,sem,39.71
"1843","64",1843,"64.16",ft.B,8,50,sem,7.65
"1844","58",1844,"58.16",ft.B,32,200,com,7.87
"1845","3",1845,"3.16",lu.B,1,50,com,39.79
"1846","89",1846,"89.16",cg.B,32,100,sem,26.45
"1847","90",1847,"90.16",lu.B,32,100,sem,39.48
"1848","30",1848,"30.16",lu.B,32,100,com,36.54
"1849","69",1849,"69.16",lu.B,16,50,sem,37.86
"1850","15",1850,"15.16",lu.B,32,50,com,46.21
"1851","11",1851,"11.16",cg.B,24,50,com,24.46
"1852","95",1852,"95.16",cg.B,8,150,sem,28.36
"1853","54",1853,"54.16",lu.B,16,200,com,37.04
"1854","52",1854,"52.16",ft.B,16,200,com,7.70
"1855","94",1855,"94.16",ft.B,8,150,sem,7.79
"1856","42",1856,"42.16",lu.B,24,150,com,33.10
"1857","57",1857,"57.16",lu.B,24,200,com,42.30
"1858","62",1858,"62.16",cg.B,1,50,sem,23.97
"1859","103",1859,"103.16",ft.B,32,150,sem,7.57
"1860","16",1860,"16.16",ft.B,1,100,com,7.81
"1861","67",1861,"67.16",ft.B,16,50,sem,7.80
"1862","53",1862,"53.16",cg.B,16,200,com,27.43
"1863","71",1863,"71.16",cg.B,24,50,sem,27.99
"1864","36",1864,"36.16",lu.B,8,150,com,39.77
"1865","72",1865,"72.16",lu.B,24,50,sem,32.15
"1866","106",1866,"106.16",ft.B,1,200,sem,7.82
"1867","1",1867,"1.16",ft.B,1,50,com,7.82
"1868","105",1868,"105.16",lu.B,32,150,sem,39.00
"1869","46",1869,"46.16",ft.B,1,200,com,7.79
"1870","10",1870,"10.16",ft.B,24,50,com,8.11
"1871","87",1871,"87.16",lu.B,24,100,sem,37.06
"1872","21",1872,"21.16",lu.B,8,100,com,31.78
"1873","4",1873,"4.16",ft.B,8,50,com,7.92
"1874","5",1874,"5.16",cg.B,8,50,com,25.31
"1875","100",1875,"100.16",ft.B,24,150,sem,7.87
"1876","116",1876,"116.16",cg.B,24,200,sem,24.19
"1877","99",1877,"99.16",lu.B,16,150,sem,39.94
"1878","25",1878,"25.16",ft.B,24,100,com,7.86
"1879","84",1879,"84.16",lu.B,16,100,sem,39.24
"1880","66",1880,"66.16",lu.B,8,50,sem,35.05
"1881","86",1881,"86.16",cg.B,24,100,sem,26.85
"1882","60",1882,"60.16",lu.B,32,200,com,33.82
"1883","34",1883,"34.16",ft.B,8,150,com,7.91
"1884","31",1884,"31.16",ft.B,1,150,com,8.26
"1885","20",1885,"20.16",cg.B,8,100,com,26.19
"1886","97",1886,"97.16",ft.B,16,150,sem,8.36
"1887","41",1887,"41.16",cg.B,24,150,com,27.22
"1888","117",1888,"117.16",lu.B,24,200,sem,37.89
"1889","51",1889,"51.16",lu.B,8,200,com,38.89
"1890","63",1890,"63.16",lu.B,1,50,sem,41.09
"1891","112",1891,"112.16",ft.B,16,200,sem,8.81
"1892","104",1892,"104.16",cg.B,32,150,sem,27.88
"1893","9",1893,"9.16",lu.B,16,50,com,42.29
"1894","75",1894,"75.16",lu.B,32,50,sem,35.39
"1895","93",1895,"93.16",lu.B,1,150,sem,33.12
"1896","111",1896,"111.16",lu.B,8,200,sem,33.19
"1897","28",1897,"28.16",ft.B,32,100,com,7.97
"1898","88",1898,"88.16",ft.B,32,100,sem,8.05
"1899","77",1899,"77.16",cg.B,1,100,sem,30.26
"1900","23",1900,"23.16",cg.B,16,100,com,31.01
"1901","73",1901,"73.16",ft.B,32,50,sem,7.67
"1902","35",1902,"35.16",cg.B,8,150,com,24.52
"1903","32",1903,"32.16",cg.B,1,150,com,29.85
"1904","59",1904,"59.16",cg.B,32,200,com,34.52
"1905","113",1905,"113.16",cg.B,16,200,sem,22.54
"1906","81",1906,"81.16",lu.B,8,100,sem,33.00
"1907","37",1907,"37.16",ft.B,16,150,com,7.65
"1908","109",1908,"109.16",ft.B,8,200,sem,7.67
"1909","82",1909,"82.16",ft.B,16,100,sem,8.01
"1910","115",1910,"115.16",ft.B,24,200,sem,8.94
"1911","40",1911,"40.16",ft.B,24,150,com,8.92
"1912","92",1912,"92.16",cg.B,1,150,sem,31.17
"1913","96",1913,"96.16",lu.B,8,150,sem,37.28
"1914","118",1914,"118.16",ft.B,32,200,sem,7.85
"1915","114",1915,"114.16",lu.B,16,200,sem,42.69
"1916","12",1916,"12.16",lu.B,24,50,com,36.83
"1917","85",1917,"85.16",ft.B,24,100,sem,7.73
"1918","14",1918,"14.16",cg.B,32,50,com,30.34
"1919","49",1919,"49.16",ft.B,8,200,com,7.88
"1920","76",1920,"76.16",ft.B,1,100,sem,7.84
"1921","96",1921,"96.17",lu.B,8,150,sem,43.26
"1922","107",1922,"107.17",cg.B,1,200,sem,27.58
"1923","75",1923,"75.17",lu.B,32,50,sem,40.66
"1924","110",1924,"110.17",cg.B,8,200,sem,26.09
"1925","94",1925,"94.17",ft.B,8,150,sem,7.79
"1926","1",1926,"1.17",ft.B,1,50,com,7.97
"1927","48",1927,"48.17",lu.B,1,200,com,33.69
"1928","89",1928,"89.17",cg.B,32,100,sem,28.93
"1929","56",1929,"56.17",cg.B,24,200,com,21.91
"1930","83",1930,"83.17",cg.B,16,100,sem,25.88
"1931","3",1931,"3.17",lu.B,1,50,com,36.85
"1932","76",1932,"76.17",ft.B,1,100,sem,7.65
"1933","77",1933,"77.17",cg.B,1,100,sem,22.20
"1934","71",1934,"71.17",cg.B,24,50,sem,25.08
"1935","55",1935,"55.17",ft.B,24,200,com,7.87
"1936","69",1936,"69.17",lu.B,16,50,sem,41.92
"1937","67",1937,"67.17",ft.B,16,50,sem,8.36
"1938","58",1938,"58.17",ft.B,32,200,com,7.76
"1939","17",1939,"17.17",cg.B,1,100,com,29.05
"1940","66",1940,"66.17",lu.B,8,50,sem,32.10
"1941","11",1941,"11.17",cg.B,24,50,com,27.01
"1942","9",1942,"9.17",lu.B,16,50,com,33.46
"1943","116",1943,"116.17",cg.B,24,200,sem,29.69
"1944","90",1944,"90.17",lu.B,32,100,sem,38.11
"1945","99",1945,"99.17",lu.B,16,150,sem,35.45
"1946","4",1946,"4.17",ft.B,8,50,com,8.27
"1947","20",1947,"20.17",cg.B,8,100,com,28.87
"1948","32",1948,"32.17",cg.B,1,150,com,25.15
"1949","91",1949,"91.17",ft.B,1,150,sem,8.68
"1950","12",1950,"12.17",lu.B,24,50,com,43.47
"1951","81",1951,"81.17",lu.B,8,100,sem,39.90
"1952","80",1952,"80.17",cg.B,8,100,sem,23.72
"1953","13",1953,"13.17",ft.B,32,50,com,7.78
"1954","25",1954,"25.17",ft.B,24,100,com,8.04
"1955","79",1955,"79.17",ft.B,8,100,sem,7.83
"1956","95",1956,"95.17",cg.B,8,150,sem,27.87
"1957","59",1957,"59.17",cg.B,32,200,com,24.63
"1958","65",1958,"65.17",cg.B,8,50,sem,27.30
"1959","14",1959,"14.17",cg.B,32,50,com,28.83
"1960","35",1960,"35.17",cg.B,8,150,com,22.44
"1961","44",1961,"44.17",cg.B,32,150,com,27.43
"1962","31",1962,"31.17",ft.B,1,150,com,7.80
"1963","119",1963,"119.17",cg.B,32,200,sem,27.24
"1964","114",1964,"114.17",lu.B,16,200,sem,43.05
"1965","49",1965,"49.17",ft.B,8,200,com,7.97
"1966","57",1966,"57.17",lu.B,24,200,com,33.67
"1967","109",1967,"109.17",ft.B,8,200,sem,7.75
"1968","26",1968,"26.17",cg.B,24,100,com,24.40
"1969","38",1969,"38.17",cg.B,16,150,com,34.54
"1970","15",1970,"15.17",lu.B,32,50,com,35.33
"1971","60",1971,"60.17",lu.B,32,200,com,33.16
"1972","7",1972,"7.17",ft.B,16,50,com,7.66
"1973","6",1973,"6.17",lu.B,8,50,com,47.71
"1974","54",1974,"54.17",lu.B,16,200,com,36.59
"1975","97",1975,"97.17",ft.B,16,150,sem,7.82
"1976","52",1976,"52.17",ft.B,16,200,com,8.39
"1977","37",1977,"37.17",ft.B,16,150,com,7.53
"1978","41",1978,"41.17",cg.B,24,150,com,23.82
"1979","28",1979,"28.17",ft.B,32,100,com,8.18
"1980","61",1980,"61.17",ft.B,1,50,sem,7.84
"1981","19",1981,"19.17",ft.B,8,100,com,7.87
"1982","39",1982,"39.17",lu.B,16,150,com,44.13
"1983","36",1983,"36.17",lu.B,8,150,com,39.40
"1984","87",1984,"87.17",lu.B,24,100,sem,37.28
"1985","105",1985,"105.17",lu.B,32,150,sem,38.59
"1986","115",1986,"115.17",ft.B,24,200,sem,7.80
